" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""String Interpolation"","https://github.com/learn-co-curriculum/interpolation-readme"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Defining Methods"","https://github.com/learn-co-curriculum/ruby-methods-readme"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Methods and Arguments"","https://github.com/learn-co-curriculum/ruby-arguments-readme"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Methods and Arguments Lab"","https://github.com/learn-co-curriculum/method-arguments-lab"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Methods and Default Arguments"","https://github.com/learn-co-curriculum/methods-default-arguments"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Methods and Default Arguments Lab"","https://github.com/learn-co-curriculum/say-hello-ruby"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Return Values"","https://github.com/learn-co-curriculum/puts-print-and-return-readme"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Return Values Lab"","https://github.com/learn-co-curriculum/parrot-ruby"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Debugging with Pry"","https://github.com/learn-co-curriculum/debugging-with-pry"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Method Scope"","https://github.com/learn-co-curriculum/method-scope"
" Full Stack Web Development V7","Procedural Ruby","Variables and Methods",""Method Scope Lab"","https://github.com/learn-co-curriculum/method-scope-lab"
" Full Stack Web Development V7","Procedural Ruby","Booleans",""Booleans and Truthiness in Ruby"","https://github.com/learn-co-curriculum/truthiness-in-ruby-readme"
" Full Stack Web Development V7","Procedural Ruby","Booleans",""Boolean Operators"","https://github.com/learn-co-curriculum/booleans-ruby-readme"
" Full Stack Web Development V7","Procedural Ruby","Booleans",""Truthiness Code Challenge"","https://github.com/learn-co-curriculum/truthiness-code-challenge"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""If Statements"","https://github.com/learn-co-curriculum/conditional-readme"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""If Statements Lab"","https://github.com/learn-co-curriculum/speaking-grandma"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""Ternary Operators and Statement Modifiers"","https://github.com/learn-co-curriculum/operators"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""If Statements Quiz"","https://github.com/learn-co-curriculum/conditional-operators-quiz"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""Case Statements"","https://github.com/learn-co-curriculum/case-statements-readme"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""Case Statements Quiz"","https://github.com/learn-co-curriculum/case-statements-quiz"
" Full Stack Web Development V7","Procedural Ruby","Logic and Conditionals",""Logic and Conditionals Quiz"","https://github.com/learn-co-curriculum/conditional-quiz-vowels"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Intro to Loops"","https://github.com/learn-co-curriculum/looping-introduction"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Looping"","https://github.com/learn-co-curriculum/looping-readme"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Looping Lab"","https://github.com/learn-co-curriculum/looping-loop"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Times"","https://github.com/learn-co-curriculum/looping-times"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Looping Quiz"","https://github.com/learn-co-curriculum/looping-quiz"
" Full Stack Web Development V7","Procedural Ruby","Looping",""While and Until Loops"","https://github.com/learn-co-curriculum/while-and-until-looping-readme"
" Full Stack Web Development V7","Procedural Ruby","Looping",""While and Until Loops Lab"","https://github.com/learn-co-curriculum/looping-while-until"
" Full Stack Web Development V7","Procedural Ruby","Looping",""Countdown to Midnight Lab"","https://github.com/learn-co-curriculum/countdown-to-midnight"
" Full Stack Web Development V7","Procedural Ruby","Arrays",""Intro to Arrays"","https://github.com/learn-co-curriculum/array-introduction"
" Full Stack Web Development V7","Procedural Ruby","Arrays",""Using Arrays"","https://github.com/learn-co-curriculum/array-readme"
" Full Stack Web Development V7","Procedural Ruby","Arrays",""Using Arrays Lab"","https://github.com/learn-co-curriculum/array-CRUD-lab"
" Full Stack Web Development V7","Procedural Ruby","Arrays",""Arrays and Methods"","https://github.com/learn-co-curriculum/array-methods-readme"
" Full Stack Web Development V7","Procedural Ruby","Arrays",""Arrays and Methods Lab"","https://github.com/learn-co-curriculum/array-methods-lab"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Iteration and Abstraction"","https://github.com/learn-co-curriculum/iterators-and-abstraction-ruby"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Intro to Ruby Iterators"","https://github.com/learn-co-curriculum/intro-to-ruby-iterators"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Square Array Lab"","https://github.com/learn-co-curriculum/square_array"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Badges and Schedules Lab"","https://github.com/learn-co-curriculum/badges-and-schedules"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Oxford Comma Lab"","https://github.com/learn-co-curriculum/oxford-comma"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Deli Counter Lab"","https://github.com/learn-co-curriculum/deli-counter"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Collect and Return Values"","https://github.com/learn-co-curriculum/each-vs-collect-readme"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Reverse Each Word Lab"","https://github.com/learn-co-curriculum/reverse-each-word"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Yield and Blocks"","https://github.com/learn-co-curriculum/yield-and-blocks"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Each Lab"","https://github.com/learn-co-curriculum/my-each"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Return from Yield Statements"","https://github.com/learn-co-curriculum/yield-and-return-values"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Collect Lab"","https://github.com/learn-co-curriculum/my-collect"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Boolean Enumerators"","https://github.com/learn-co-curriculum/ruby-boolean-enumerables"
" Full Stack Web Development V7","Procedural Ruby","Iteration",""Search Enumerators"","https://github.com/learn-co-curriculum/ruby-search-enumerators"
